mode,cohort,held_out,concept,target,dardic_family_id,plains_family_id,category,families
entry,Score ≥0.4,False,HEAVY,Lahnda,1962,9465,Other resolved families only,4209;9459
entry,Score ≥0.4,False,HEAVY,Either language,1962,9465,Other resolved families only,4209;9459
entry,Score ≥0.4,False,MOUNTAIN,Sindhi,3792,8141,Other resolved families only,10845;5423-17
entry,Score ≥0.4,False,MOUNTAIN,Lahnda,3792,8141,"Plains family, not Dardic family",10845;8141
entry,Score ≥0.4,False,MOUNTAIN,Either language,3792,8141,"Plains family, not Dardic family",10845;5423-17;8141
entry,Score ≥0.4,False,DOG,Sindhi,3219,3275,"Plains family, not Dardic family",3275
entry,Score ≥0.4,False,DOG,Lahnda,3219,3275,"Plains family, not Dardic family",3275
entry,Score ≥0.4,False,DOG,Either language,3219,3275,"Plains family, not Dardic family",3275
entry,Score ≥0.4,False,WHO,Sindhi,2574,2575,No included etymology,
entry,Score ≥0.4,False,WHO,Lahnda,2574,2575,"Plains family, not Dardic family",2575
entry,Score ≥0.4,False,WHO,Either language,2574,2575,"Plains family, not Dardic family",2575
entry,Score ≥0.4,False,MONTH,Sindhi,10104,f_vbtodh3gxxoq2,"Dardic family, not Plains family",10104;3070;925
entry,Score ≥0.4,False,MONTH,Lahnda,10104,f_vbtodh3gxxoq2,"Dardic family, not Plains family",10104;3070;925
entry,Score ≥0.4,False,MONTH,Either language,10104,f_vbtodh3gxxoq2,"Dardic family, not Plains family",10104;3070;925
entry,Score ≥0.4,False,BRANCH,Sindhi,12260,5546,"Plains family, not Dardic family",11051;5546
entry,Score ≥0.4,False,BRANCH,Lahnda,12260,5546,No attestation,
entry,Score ≥0.4,False,BRANCH,Either language,12260,5546,"Plains family, not Dardic family",11051;5546
entry,Score ≥0.4,False,BUY,Sindhi,4236,3594,"Dardic family, not Plains family",11233;11979;4236
entry,Score ≥0.4,False,BUY,Lahnda,4236,3594,Other resolved families only,11979
entry,Score ≥0.4,False,BUY,Either language,4236,3594,"Dardic family, not Plains family",11233;11979;4236
entry,Score ≥0.4,False,LAKE,Sindhi,13254,8425,No attestation,
entry,Score ≥0.4,False,LAKE,Lahnda,13254,8425,Other resolved families only,3139
entry,Score ≥0.4,False,LAKE,Either language,13254,8425,Other resolved families only,3139
entry,Score ≥0.4,False,GRANDSON,Sindhi,8416,6955b,No attestation,
entry,Score ≥0.4,False,GRANDSON,Lahnda,8416,6955b,No attestation,
entry,Score ≥0.4,False,GRANDSON,Either language,8416,6955b,No attestation,
entry,Score ≥0.4,False,MOON,Sindhi,5301,4661,"Plains family, not Dardic family",4661
entry,Score ≥0.4,False,MOON,Lahnda,5301,4661,"Plains family, not Dardic family",4661
entry,Score ≥0.4,False,MOON,Either language,5301,4661,"Plains family, not Dardic family",4661
entry,Score ≥0.4,False,THIRST,Sindhi,5943,8199,Other resolved families only,1928;2573;5676;5936
entry,Score ≥0.4,False,THIRST,Lahnda,5943,8199,Other resolved families only,5936
entry,Score ≥0.4,False,THIRST,Either language,5943,8199,Other resolved families only,1928;2573;5676;5936
entry,Score ≥0.4,False,DAY (NOT NIGHT),Sindhi,6333,6328,"Dardic family, not Plains family",6333
entry,Score ≥0.4,False,DAY (NOT NIGHT),Lahnda,6333,6328,"Dardic family, not Plains family",6333
entry,Score ≥0.4,False,DAY (NOT NIGHT),Either language,6333,6328,"Dardic family, not Plains family",6333
entry,Score ≥0.4,False,COLD,Sindhi,12487,13676,"Plains family, not Dardic family",12485;13676;13677;13765
entry,Score ≥0.4,False,COLD,Lahnda,12487,13676,"Plains family, not Dardic family",12485;13676;13765;8959
entry,Score ≥0.4,False,COLD,Either language,12487,13676,"Plains family, not Dardic family",12485;13676;13677;13765;8959
entry,Score ≥0.4,False,DAY AFTER TOMORROW,Sindhi,5912,7799j,Other resolved families only,7799l
entry,Score ≥0.4,False,DAY AFTER TOMORROW,Lahnda,5912,7799j,No attestation,
entry,Score ≥0.4,False,DAY AFTER TOMORROW,Either language,5912,7799j,Other resolved families only,7799l
entry,Score ≥0.4,False,SKULL,Sindhi,2744,3936,"Dardic family, not Plains family",2744;3519
entry,Score ≥0.4,False,SKULL,Lahnda,2744,3936,"Plains family, not Dardic family",3519;3936
entry,Score ≥0.4,False,SKULL,Either language,2744,3936,Both focal families,2744;3519;3936
entry,Score ≥0.4,False,FORGET,Sindhi,1265,12021,Other resolved families only,12023;9538
entry,Score ≥0.4,False,FORGET,Lahnda,1265,12021,Other resolved families only,12023
