ID,Language_ID,Form,Gloss,Tags,entry_family_id
10310-2,Indo-Aryan,*mēṇṭʰa,,lex,10310
10310-3,Indo-Aryan,*mējjʰa,,,10310
10311,Indo-Aryan,*mēṇḍʰarūpa,like a ram,,10311
10312,Indo-Aryan,*mēṇḍʰī,"lock of hair, curl",,10312
10317,Indo-Aryan,mētʰí,"pillar in threshing floor to which oxen are fastened, prop for supporting carriage shafts",m AV Early-Vedic,10317
10317-2,Indo-Aryan,mēṭʰī,,f,10317
10320,Indo-Aryan,mēda,"a mixed caste, any one living by a degrading occupation",m Mn Epic,10320
10322,Indo-Aryan,*mēdapālikā,holding fat,,10322
10323,Indo-Aryan,mḗdas,"fat, marrow",n RV Early-Vedic,10323
10324,Indo-Aryan,*mēdila,having fat or marrow,,10324
10325,Indo-Aryan,*mēdda,lump,,10325
10326,Indo-Aryan,mēdya,"fatty, thick",Suśr Classical,10326
10328,Indo-Aryan,mēndʰī,the plant Lawsonia alba,,10328
10329,Indo-Aryan,mḗya,to be measured; discernible,AV Prab Early-Vedic Medieval,10329
1033,Indo-Aryan,*ākṣōṭayati,withdraws,,1033
10330,Indo-Aryan,mērú,a fabulous mountain in Himalaya,m MBh Epic,10330
10331,Indo-Aryan,mēla,meeting,m Kathās Medieval,10331
10331-2,Indo-Aryan,*mēḍa,,,10331
10332,Indo-Aryan,mēlayati,,,10332
10332-2,Indo-Aryan,*mēḍayati,,,10332
10333,Indo-Aryan,*mēll,"leave, let go",,10333
10334,Indo-Aryan,mēṣá,ram,m,10334
10334-2,Indo-Aryan,mēha-,,,10334
10337,Indo-Aryan,mēha,urine,Mn Epic,10337
10337-2,Indo-Aryan,*mēhakk-,urine,ext:kk,10337-2
10338,Indo-Aryan,mḗhati,pisses,RV Early-Vedic,10338
10338a,Indo-Aryan,*mēhāyati,is wet,,10338a
10339,Indo-Aryan,*mēhya,rain,,10339
1034,Indo-Aryan,ākʰará,hole or lair of an animal,m RV Early-Vedic,1034
10341,Indo-Aryan,maitʰuná,"coupled, paired, relating to sexual union; copulation",Mn ŚBr Epic Early-Vedic,10341
10343,Indo-Aryan,*maiṣya,ovine,,10343
10343-2,Indo-Aryan,*maiṣiya,,,10343
10344,Indo-Aryan,mṓ,,,10344
10345,Indo-Aryan,mōkṣa,release (esp. from worldly existence),m ŚvetUp Epic,10345
10349,Indo-Aryan,*mōca-,,,10349
10349-2,Indo-Aryan,mōcika,tanner and cobbler,m BHSk,10349
1035,Indo-Aryan,*ākʰarjati,scratches,,1035
10351,Indo-Aryan,*mōcc,"twist, wring",,10351
10352,Indo-Aryan,*mōṭa,wicker stool,,10352
10352-2,Indo-Aryan,*mōṭʰa,,,10352
10353,Indo-Aryan,mōṇa,basket (in which snakes are carried),m lex,10353
10356,Indo-Aryan,*mōdana,mixing,,10356
10357,Indo-Aryan,mōdayati,mixes; softens (with ghee),Dhātup Epic,10357
10359,Indo-Aryan,mṓṣati,steals,RV Early-Vedic,10359
1036,Indo-Aryan,*ākʰuṭati,trips,intr,1036
1036-2,Indo-Aryan,*ākʰōṭayati,strikes against,tr,1036
10360,Indo-Aryan,mṓha,bewilderment; swoon,m AV MBh Early-Vedic Epic,10360
10362,Indo-Aryan,mōháyati,bewilders,RV Early-Vedic,10362
10364,Indo-Aryan,*mōhya,to be confused,,10364
10365,Indo-Aryan,mauktika,pearl,n MBh Epic,10365
10367,Indo-Aryan,mauñjī,thread of the grass Saccharum sara worn by Brahmans,f MBh Epic,10367
1037,Indo-Aryan,ākʰēṭa,hunting,m Kathās Medieval,1037
10370,Indo-Aryan,maudga,relating to beans,KātyŚr Early-Vedic,10370
10371,Indo-Aryan,mauna,"silence; barrenness, lack of flowers",n MBh Bhām Epic,10371
10371-2,Indo-Aryan,*mūna,,,10371
10371-3,Indo-Aryan,*mōnna,,,10371
10372,Indo-Aryan,*maurdʰaka,pertaining to the head,,10372
10373,Indo-Aryan,maulya,being at the root; price,KātyŚr Early-Vedic,10373
10374,Indo-Aryan,mauhūrta,*momentary,MBh Epic,10374
10376,Indo-Aryan,mrakṣa,"disparaging, ill-will, anger",,10376
10378,Indo-Aryan,mrakṣaṇa,"rubbing in; ointment, oil",n Dhātup Suśr Epic Classical,10378
10379,Indo-Aryan,mrákṣati,"rubs, strokes; smears",RV Lalit Early-Vedic Epic,10379
1038,Indo-Aryan,ākʰēṭika,"huntsman, hunting dog",,1038
10381,Indo-Aryan,mradiṣṭʰa,very soft or kind,Pāṇ Epic,10381
10383,Indo-Aryan,mriyátē,dies,RV Early-Vedic,10383
10387,Indo-Aryan,mlā́yati,"withers, is exhausted",ŚBr Early-Vedic,10387
10388,Indo-Aryan,*mlāyita,withered,,10388
1039,Indo-Aryan,*ākʰēlati,plays,,1039
10391,Indo-Aryan,yá,,relative pron,10391
10393,Indo-Aryan,*yakarāntra,liver and guts,,10393
10394,Indo-Aryan,yákr̩t,liver,gen,10394
10395,Indo-Aryan,yakṣá,a supernatural being,m MaitrUp,10395
10396,Indo-Aryan,*yaja,cold,,10396
10398,Indo-Aryan,yajñíya,pertaining to the sacrifice,RV Early-Vedic,10398
104,Indo-Aryan,aŋkáyati,"marks, brands",MBh Epic,104
1040,Indo-Aryan,ākʰyāta,declared; called,KātyŚr Mn Early-Vedic Epic,1040
10400,Indo-Aryan,yatá,"restrained, proffered",RV Early-Vedic,10400
10400-2,Indo-Aryan,*yataḍ-,"restrained, proffered",ext:ḍ,10400-2
10401,Indo-Aryan,yátaḣ,"whence; where, because",RV AV Early-Vedic,10401
10404,Indo-Aryan,yatta,"striving, contending; ready, prepared for",Kāṭh MBh Early-Vedic Epic,10404
10408,Indo-Aryan,yáthā ná,,,10408
10408-2,Indo-Aryan,yátʰā ná,in order that not,ŚBr Early-Vedic,10408
10409,Indo-Aryan,yadā́,when,RV Early-Vedic,10409
1041,Indo-Aryan,ākʰyāti,tells,Ep Epic,1041
10410,Indo-Aryan,yádi,if,RV Early-Vedic,10410
10411,Indo-Aryan,yádi vā,or,RV Early-Vedic,10411
10412,Indo-Aryan,yantrá,controlling device; any implement or contrivance,n RV MBh Early-Vedic Epic,10412
10416,Indo-Aryan,*yabdʰa,copulated,,10416
10418,Indo-Aryan,yábʰati,copulates,AV Early-Vedic,10418
10420,Indo-Aryan,*yabʰyatē,futuitur,,10420
10421,Indo-Aryan,yamá,,,10421
10421-2,Indo-Aryan,*yāmaka,,,10421
10421-3,Indo-Aryan,*yamaḍ-,,ext:ḍ,10421-3
10421-4,Indo-Aryan,*yamaṭṭ-,,ext:ṭṭ,10421-4
10426,Indo-Aryan,yamala,"twin, paired; twins",Suśr MBh Classical Epic,10426
10428,Indo-Aryan,yamyátē,*is fixed,KauṣUp Early-Vedic,10428
