chart,view,concept,unit,group,latitude,longitude,representative_language,categories,values,families
dardic-asymmetric,IRON,IRON,konk1267,plains,15.2993,74.124,Ko,"[""cīmara"", ""Other resolved families"", ""No included family""]","[0.0, 0.0, 1]",
dardic-asymmetric,IRON,IRON,mait1250,plains,26.38,86.22,Mth,"[""cīmara"", ""Other resolved families"", ""No included family""]","[0.0, 1.0, 0.0]",11158;12349
dardic-asymmetric,IRON,IRON,malv1243,plains,24.243083,75.027707,mewari_basad,"[""cīmara"", ""Other resolved families"", ""No included family""]","[0.0, 0.0, 1]",
dardic-asymmetric,IRON,IRON,mara1378,plains,18.5204,73.8567,M,"[""cīmara"", ""Other resolved families"", ""No included family""]","[0.0, 1.0, 0.0]",11158;11171
dardic-asymmetric,IRON,IRON,marw1260,plains,27.0,75.07,Marw,"[""cīmara"", ""Other resolved families"", ""No included family""]","[0.0, 0.0, 1]",
dardic-asymmetric,IRON,IRON,mewa1250,plains,27.817648,77.035043,mewati_akera,"[""cīmara"", ""Other resolved families"", ""No included family""]","[0.0, 0.0, 1]",
dardic-asymmetric,IRON,IRON,oriy1255,plains,21.0,85.0,Or,"[""cīmara"", ""Other resolved families"", ""No included family""]","[0.0, 1.0, 0.0]",104;10881;10884;11158
dardic-asymmetric,IRON,IRON,paha1251,plains,33.148,73.7537,poth,"[""cīmara"", ""Other resolved families"", ""No included family""]","[0.0, 0.0, 1]",
dardic-asymmetric,IRON,IRON,panj1256,plains,30.04,75.67,P,"[""cīmara"", ""Other resolved families"", ""No included family""]","[0.0, 1.0, 0.0]",11158;6121
dardic-asymmetric,IRON,IRON,rajb1243,plains,26.4877,87.79265,MH,"[""cīmara"", ""Other resolved families"", ""No included family""]","[0.0, 0.0, 1]",
dardic-asymmetric,IRON,IRON,rang1265,plains,26.280348,89.39468,BH,"[""cīmara"", ""Other resolved families"", ""No included family""]","[0.0, 0.0, 1]",
dardic-asymmetric,IRON,IRON,sera1259,plains,29.55,71.91,srk,"[""cīmara"", ""Other resolved families"", ""No included family""]","[0.0, 0.0, 1]",
dardic-asymmetric,IRON,IRON,sind1272,plains,26.0,69.0,S,"[""cīmara"", ""Other resolved families"", ""No included family""]","[0.0, 1.0, 0.0]",11158;6121
dardic-asymmetric,IRON,IRON,surj1235,plains,26.0982,87.945,KS,"[""cīmara"", ""Other resolved families"", ""No included family""]","[0.0, 0.0, 1]",
dardic-asymmetric,IRON,IRON,vaag1238,plains,12.21,79.53,VB,"[""cīmara"", ""Other resolved families"", ""No included family""]","[0.0, 0.0, 1]",
dardic-asymmetric,IRON,IRON,wadi1248,plains,26.07,72.13,WK,"[""cīmara"", ""Other resolved families"", ""No included family""]","[0.0, 1.0, 0.0]",11173
dardic-asymmetric,IRON,IRON,west2386,plains,31.1704,72.7097,L,"[""cīmara"", ""Other resolved families"", ""No included family""]","[0.0, 1.0, 0.0]",11158
dardic-asymmetric,BRIDGE,BRIDGE,bate1261,dardic,34.95,72.92,bhatr,"[""sḗtu"", ""Other resolved families"", ""No included family""]","[0.0, 0.0, 1]",
