chart,view,concept,unit,group,latitude,longitude,representative_language,categories,values,families
dardic-language-evidence,MOUSTACHE,MOUSTACHE,oriy1255,plains,21.0,85.0,Or,"[""Dardic-associated family only"", ""Plains-associated family only"", ""Both focal families"", ""One focal + other families"", ""Other families only"", ""No resolved family""]","[0.0, 1, 0.0, 0.0, 0.0, 0.0]",10180
dardic-language-evidence,MOUSTACHE,MOUSTACHE,panj1256,plains,30.04,75.67,P,"[""Dardic-associated family only"", ""Plains-associated family only"", ""Both focal families"", ""One focal + other families"", ""Other families only"", ""No resolved family""]","[0.0, 1, 0.0, 0.0, 0.0, 0.0]",10180
dardic-language-evidence,MOUSTACHE,MOUSTACHE,rajb1243,plains,26.4877,87.79265,MH,"[""Dardic-associated family only"", ""Plains-associated family only"", ""Both focal families"", ""One focal + other families"", ""Other families only"", ""No resolved family""]","[0.0, 1, 0.0, 0.0, 0.0, 0.0]",10180
dardic-language-evidence,MOUSTACHE,MOUSTACHE,rang1265,plains,26.280348,89.39468,BH,"[""Dardic-associated family only"", ""Plains-associated family only"", ""Both focal families"", ""One focal + other families"", ""Other families only"", ""No resolved family""]","[0.0, 1, 0.0, 0.0, 0.0, 0.0]",10180
dardic-language-evidence,MOUSTACHE,MOUSTACHE,sind1272,plains,26.0,69.0,S,"[""Dardic-associated family only"", ""Plains-associated family only"", ""Both focal families"", ""One focal + other families"", ""Other families only"", ""No resolved family""]","[0.0, 1, 0.0, 0.0, 0.0, 0.0]",10180
dardic-language-evidence,MOUSTACHE,MOUSTACHE,surj1235,plains,26.0982,87.945,KS,"[""Dardic-associated family only"", ""Plains-associated family only"", ""Both focal families"", ""One focal + other families"", ""Other families only"", ""No resolved family""]","[0.0, 1, 0.0, 0.0, 0.0, 0.0]",10180
dardic-language-evidence,MOUSTACHE,MOUSTACHE,vaag1238,plains,12.21,79.53,VB,"[""Dardic-associated family only"", ""Plains-associated family only"", ""Both focal families"", ""One focal + other families"", ""Other families only"", ""No resolved family""]","[0.0, 0.0, 0.0, 0.0, 0.0, 1]",
dardic-language-evidence,MOUSTACHE,MOUSTACHE,wadi1248,plains,26.07,72.13,WK,"[""Dardic-associated family only"", ""Plains-associated family only"", ""Both focal families"", ""One focal + other families"", ""Other families only"", ""No resolved family""]","[0.0, 0.0, 0.0, 0.0, 0.0, 1]",
dardic-language-evidence,MOUSTACHE,MOUSTACHE,west2386,plains,31.1704,72.7097,L,"[""Dardic-associated family only"", ""Plains-associated family only"", ""Both focal families"", ""One focal + other families"", ""Other families only"", ""No resolved family""]","[0.0, 1, 0.0, 0.0, 0.0, 0.0]",10180
dardic-language-evidence,LONG,LONG,bate1261,dardic,34.95,72.92,bhatr,"[""Dardic-associated family only"", ""Plains-associated family only"", ""Both focal families"", ""One focal + other families"", ""Other families only"", ""No resolved family""]","[0.0, 0.0, 0.0, 0.0, 0.0, 1]",
dardic-language-evidence,LONG,LONG,brok1247,dardic,34.53,76.6,bro,"[""Dardic-associated family only"", ""Plains-associated family only"", ""Both focal families"", ""One focal + other families"", ""Other families only"", ""No resolved family""]","[1, 0.0, 0.0, 0.0, 0.0, 0.0]",6368
dardic-language-evidence,LONG,LONG,chil1275,dardic,35.25,73.33,Chil,"[""Dardic-associated family only"", ""Plains-associated family only"", ""Both focal families"", ""One focal + other families"", ""Other families only"", ""No resolved family""]","[1, 0.0, 0.0, 0.0, 0.0, 0.0]",6368
dardic-language-evidence,LONG,LONG,dame1241,dardic,35.3,71.68,Dm,"[""Dardic-associated family only"", ""Plains-associated family only"", ""Both focal families"", ""One focal + other families"", ""Other families only"", ""No resolved family""]","[1, 0.0, 0.0, 0.0, 0.0, 0.0]",6368
dardic-language-evidence,LONG,LONG,gawa1247,dardic,35.2,71.54,Gaw,"[""Dardic-associated family only"", ""Plains-associated family only"", ""Both focal families"", ""One focal + other families"", ""Other families only"", ""No resolved family""]","[1, 0.0, 0.0, 0.0, 0.0, 0.0]",6368
dardic-language-evidence,LONG,LONG,gowr1239,dardic,35.1243,73.1233,Gowro,"[""Dardic-associated family only"", ""Plains-associated family only"", ""Both focal families"", ""One focal + other families"", ""Other families only"", ""No resolved family""]","[0.0, 0.0, 0.0, 0.0, 0.0, 1]",
dardic-language-evidence,LONG,LONG,indu1241,dardic,35.34,73.02,Mai,"[""Dardic-associated family only"", ""Plains-associated family only"", ""Both focal families"", ""One focal + other families"", ""Other families only"", ""No resolved family""]","[1, 0.0, 0.0, 0.0, 0.0, 0.0]",6368
dardic-language-evidence,LONG,LONG,kala1372,dardic,35.64,71.67,Kal,"[""Dardic-associated family only"", ""Plains-associated family only"", ""Both focal families"", ""One focal + other families"", ""Other families only"", ""No resolved family""]","[1, 0.0, 0.0, 0.0, 0.0, 0.0]",6368
dardic-language-evidence,LONG,LONG,kala1373,dardic,35.53,72.57,Bshk,"[""Dardic-associated family only"", ""Plains-associated family only"", ""Both focal families"", ""One focal + other families"", ""Other families only"", ""No resolved family""]","[1, 0.0, 0.0, 0.0, 0.0, 0.0]",6368
dardic-language-evidence,LONG,LONG,kalk1245,dardic,35.41,72.17,Kalk,"[""Dardic-associated family only"", ""Plains-associated family only"", ""Both focal families"", ""One focal + other families"", ""Other families only"", ""No resolved family""]","[1, 0.0, 0.0, 0.0, 0.0, 0.0]",6368
dardic-language-evidence,LONG,LONG,kash1277,dardic,34.17,74.33,K,"[""Dardic-associated family only"", ""Plains-associated family only"", ""Both focal families"", ""One focal + other families"", ""Other families only"", ""No resolved family""]","[0.0, 1, 0.0, 0.0, 0.0, 0.0]",10951
dardic-language-evidence,LONG,LONG,khow1242,dardic,36.0,72.0,Kho,"[""Dardic-associated family only"", ""Plains-associated family only"", ""Both focal families"", ""One focal + other families"", ""Other families only"", ""No resolved family""]","[0.0, 0.0, 0.0, 0.0, 1, 0.0]",6616
dardic-language-evidence,LONG,LONG,kund1257,dardic,34.56,73.83,Kund,"[""Dardic-associated family only"", ""Plains-associated family only"", ""Both focal families"", ""One focal + other families"", ""Other families only"", ""No resolved family""]","[1, 0.0, 0.0, 0.0, 0.0, 0.0]",6368
dardic-language-evidence,LONG,LONG,nort2666,dardic,34.66,70.43,Pas,"[""Dardic-associated family only"", ""Plains-associated family only"", ""Both focal families"", ""One focal + other families"", ""Other families only"", ""No resolved family""]","[0.0, 0.0, 0.0, 1, 0.0, 0.0]",1627;6368
dardic-language-evidence,LONG,LONG,phal1254,dardic,35.51,71.84,Phal,"[""Dardic-associated family only"", ""Plains-associated family only"", ""Both focal families"", ""One focal + other families"", ""Other families only"", ""No resolved family""]","[1, 0.0, 0.0, 0.0, 0.0, 0.0]",6368
