head_id,family_id,head,family,rule
10939-2,10939,*lappʰa-,*lappa,explicitly linked numbered CDIAL subhead
10939-3,10939,lampʰa,*lappa,explicitly linked numbered CDIAL subhead
10943-2,10943,*lampʰa-,*lappʰa,explicitly linked numbered CDIAL subhead
10943-3,10943,*labba,*lappʰa,explicitly linked numbered CDIAL subhead
10943-4,10943,*labbʰa,*lappʰa,explicitly linked numbered CDIAL subhead
10943-5,10943,*lamba-,*lappʰa,explicitly linked numbered CDIAL subhead
10945-2,10945,lāba,labá,explicitly linked numbered CDIAL subhead
10970-2,10970,niṭāla,lalā́ṭa,explicitly linked numbered CDIAL subhead
10972-2,10972,lallara,*lalla,explicitly linked numbered CDIAL subhead
10979-2,10979,*lavaṇakāra,*lavaṇakara,explicitly linked numbered CDIAL subhead
10990-2,10990,*raśuna,láśuna,explicitly linked numbered CDIAL subhead
10992-2,10992,*lasya,*lasa,explicitly linked numbered CDIAL subhead
10999-2,10999,*lahaḍi,lahari,explicitly linked numbered CDIAL subhead
10999-3,10999,laharī,lahari,explicitly linked numbered CDIAL subhead
11001-2,11001,*lākṣakārin,*lākṣakara,explicitly linked numbered CDIAL subhead
11003-2,11003,*lākṣaka,lākṣiká,explicitly linked numbered CDIAL subhead
11009-2,11009,*lāŋguṭa,lāŋgūlá,explicitly linked numbered CDIAL subhead
11009-3,11009,*lāŋguṭṭa,lāŋgūlá,explicitly linked numbered CDIAL subhead
11009-4,11009,*lāŋguṭṭʰa,lāŋgūlá,explicitly linked numbered CDIAL subhead
11009-5,11009,*lēŋgula,lāŋgūlá,explicitly linked numbered CDIAL subhead
11009-6,11009,*lēŋguṭṭa,lāŋgūlá,explicitly linked numbered CDIAL subhead
11041-2,11041,*lāsyatē,lāsáyati,explicitly linked numbered CDIAL subhead
11044-2,11044,*liŋga,*likka,explicitly linked numbered CDIAL subhead
11044-3,11044,*lēkka,*likka,explicitly linked numbered CDIAL subhead
11044-4,11044,*lēgga,*likka,explicitly linked numbered CDIAL subhead
11044-5,11044,*lēŋka,*likka,explicitly linked numbered CDIAL subhead
11044-6,11044,*lēŋga,*likka,explicitly linked numbered CDIAL subhead
11044-7,11044,*lēŋgʰa,*likka,explicitly linked numbered CDIAL subhead
1105-2,1105,*āḍḍʰarati,*āḍḍʰalati,explicitly linked numbered CDIAL subhead
11053-2,11053,*liccʰa,*licca,explicitly linked numbered CDIAL subhead
11053-4,11053,*lēcca,*licca,explicitly linked numbered CDIAL subhead
11053-5,11053,*lēñca,*licca,explicitly linked numbered CDIAL subhead
11054-10,11054,*lēṇḍara,*liṭṭa,explicitly linked numbered CDIAL subhead
11054-11,11054,*lēṇḍʰa,*liṭṭa,explicitly linked numbered CDIAL subhead
