Child_ID	Parent_ID	Kind	Rank	Pos	Source	Note
f_3dyyrpeunhxvy	12528	reflex	1			
f_3e3aekxjyo74a	13799	reflex	1			
f_3e46iuw3kojg6	f_t2o6662hp5mhi	borrowed	1			
f_3e5tjlj26vqho	12098	reflex	1			
f_3e7geqqm7h7yk	3243	reflex	1			
f_3ehxdw6eymplm	1533	reflex	1			
f_3ehzck6tak2sk	12774	reflex	1			
f_3enoxc2dlreyo	9387	reflex	1			
f_3eododk6m7twg	2918	reflex	1			
f_3eq6oo5vyjytc	12774	reflex	1			
f_3erpgxr5my7ho	8209	reflex	1			
f_3eylsht7brjqk	12322	reflex	1			
f_3f3kxndwn2wug	125	reflex	1			
f_3ff5fijc6e62k	13386	reflex	1			
f_3frmjopn2geuq	3781	reflex	1			
f_3fsj5cyrcj5h4	6391	reflex	1			
f_3fts6l2yt5bwu	f_p2275xg5bbauy	variant	1			
f_3g4t3tm5ijw46	8249	reflex	1			
f_3g5s3glbqwtrg	12497	reflex	1			
f_3ghtos2nztemw	2805	reflex	1			
f_3gjtlu4ygvphy	12370	reflex	1			
f_3gkkfywhigmhi	6926	reflex	1			
f_3gkr5tcwpe66s	11009	reflex	1			
f_3gwx53jqt2ip6	12193	reflex	1			
f_3gzngjbxpdeae	1921	reflex	1			
f_3h43yele4vzhm	9668	reflex	1			
f_3h75musvdtele	1340	reflex	1			
f_3hbtcmmz4iz3c	1268	reflex	1			
f_3he3p6jxoitzu	f_eaygefeidp4t4	variant	1			
f_3hfmdgiymx4x4	14152	reflex	1			
f_3hgioebrm3emi	5664	reflex	1			
f_3hiacvq7k6bjw	6983	reflex	1			
f_3hkjwzoegvsne	4190	reflex	1			
f_3hnaq7rxbw4qe	3078	reflex	1			
f_3hpg7ijr7wp7k	6628	reflex	1			
f_3hso7ubzpusqg	2038	reflex	1			
f_3hsviwixgk6ws	9828	reflex	1			
f_3hvavj224ioye	13956	reflex	1			
f_3hxratfdxj6iq	13845	reflex	1			
f_3hy3jcf5fpiq2	7638	reflex	1			
f_3hydcrqnawu4o	6343	reflex	1			
f_3i42n55sajw2q	8100	reflex	1			
f_3i7lqstux2eto	43	reflex	1			
f_3id3txquvzghu	12497	reflex	1			
f_3ievfnzoeuzhw	2830	reflex	1			
f_3ihwzow7tn4ge	13519	reflex	1			
f_3irgahc2rrnh6	8400	reflex	1			
f_3isauwz5cjdiy	3084	reflex	1			
f_3ivlg66xwaf74	5679	reflex	1			
f_3ivveusmr56ue	11743	reflex	1			
f_3iyfkrvi3e45s	7733	reflex	1			
f_3j6w2sbpu5gtm	125	reflex	1			
f_3j7rkd4xe7ujm	12064	reflex	1			
f_3jc35ydmkbusg	6920	reflex	1			
f_3jcnmgxaiczri	4104	reflex	1			
f_3jihmeadqjoqg	12233	reflex	1			
f_3jir442hlt4so	4119	reflex	1			
f_3jjrutrapo5c2	3884	reflex	1			
f_3jmjg6j4z4k6y	283	reflex	1			
f_3jodnseapr72i	10650	reflex	1			
