gloss	plural	suffix	plural_stress_from_right	plural_outcome	singulars	singular_stress	singular_ids	plural_id	family_ids	plural_description
horse	ã́ʃpe	-e	2	stress-marked	"[""ã́ʃup""]"	[2]	"[""f_cq2d42psfez7y""]"	f_j4tmrtck6y2pc	[]	
lamb	oró:ɳe	-e	2	stress-marked	"[""oró:ɳ""]"	[1]	"[""f_5up3qdpujils4""]"	f_ki5krulsalkde	[]	
leopard ]	dĩye	-e		unmarked	"[""dĩ""]"	"[""""]"	"[""f_x7set5j57agdc""]"	f_eespruaru3iqy	[]	
louse ] pl.	ʤũẽ	other		unmarked	"[""ʤũ""]"	"[""""]"	"[""f_f4kbpzhwtx7dq""]"	f_gc7dlhe4uzvoo	[]	
mouse	mṹʐe	-e	2	stress-marked	"[""mṹʐi""]"	[2]	"[""f_7in7odvosmvti""]"	f_pofdnervr5uxi	[]	
nest	ɦaló:le	-e	2	stress-marked	"[""ɦaló:l""]"	[1]	"[""f_gys574z2cphxy""]"	f_u65kmsiubcno6	[]	
owl	ɦúe	-e	2	stress-in-vowel-sequence	"[""ɦú:""]"	[1]	"[""f_dvt2eqhymkwio""]"	f_62amuxe2zocyq	[]	
paw	no:ryé	-e	1	stress-marked	[]	[]	[]	f_faoymkjzoxjdy	[]	
pheasant	kʌ́kəʦe	-e	3	stress-marked	"[""kʌ́kəs""]"	[2]	"[""f_wommlnguv6wu2""]"	f_hvytwd5oxby46	[]	
puppy	khukúri	-i	2	stress-marked	"[""khukúr""]"	[1]	"[""f_e4b3oy6gqv556""]"	f_523uknitwegxc	[]	
rat	mú:ʐe	-e	2	stress-marked	"[""mú:ʂ""]"	[1]	"[""f_zbinexnjqaaiy""]"	f_5tfgpyst54yme	[]	
raven	kó:rkuʦi	-i	3	stress-marked	"[""kó:rkus""]"	[2]	"[""f_7zco57homafuo""]"	f_gviv4asu5bc6u	[]	
snail	ʧʌ́ɲʧuli	-i	3	stress-marked	"[""ʧʌ́ɲʧul""]"	[2]	"[""f_65gdouofpwuf2""]"	f_knqbyc3m3hdny	[]	
stork; swan	oibʌ́roʐe	-e	3	stress-in-vowel-sequence	"[""oibʌ́roʂ""]"	[2]	"[""f_hvmmgtzahvj3a""]"	f_gx6pukrvlmlii	[]	
