ID	Language_ID	Form	Gloss	Native	Phonemic	Original	Cognateset	Description	Tags	Source	Etymology	Redirect	Status
f_6arqtihttlhvw	Phal	gʰuēṇī̂	Pashtun (person)	گھویݨی	ɡwheeɳíi, uɡheeɳíi	ghueeṇíi		Inflection: a-decl (Obl, pl): -a	noun m Palula-noun-class-a loanword loan:Persian	liljegren	Origin: Persian: afɣaanii		unlinked
f_6binis63qnpm4	Phal	tōbā̌k	gun; rifle	توباک	toobaák	toobaák		Inflection: i-decl (Obl, pl): toobakí; Morphemic form: toobák	noun f Palula-noun-class-i loanword loan:Pashto loan:Persian loan:Turkish loan:Urdu	liljegren	Origin: Urdu/Pashto (Persian/Turkish): tupak		unlinked
f_6bkchuvumlfne	Phal	kuṇō̂ku	puppy	کُݨوکوۡ	kuɳóoko	kuṇóoku		Inflection: a-decl (Obl, pl): kuṇóoka	noun m Palula-noun-class-a	liljegren			unlinked
f_6bqe2a5nlp5ay	Phal	ēṛanī̂	their; of those (dist)	ایڑنی	eeɽaníi	eeṛaníi			pron demonstrative	liljegren			unlinked
f_6i2i2vzpxitxg	Phal	dʰātā̌r	fire place	دھاتار	dhaataár	dhaataár		Inflection: a-decl (Obl, pl): dhaatará; Morphemic form: dhaatár	noun m Palula-noun-class-a	liljegren	*dhmātra- 'fireplace' (T: 6888)		
f_6jpkdn653gavo	Phal	kʰā̂cu	bad	کھاچوۡ	kʰáatɕu	kháaču		Inflection: Uml (Fem): khéeči; Morphemic form: khač-	adj	liljegren	*kacca- 'mud, dirt' (T: 3153, 14343)		
f_6maq5lztqc476	Phal	śíkal	figure; like; a kind of	شِکل	ɕíkal	šíkal		Inflection: a-decl (Obl, pl): -a	noun m Palula-noun-class-a loanword loan:Arabic loan:Persian loan:Urdu	liljegren	Origin: Urdu/Persian (Arabic): šakl, šakal		unlinked
f_6md7zxvzbyfsw	Kalk	pānd	path		pɑːnd	paand		high level tone (melody 1); nasal-plosive cluster alternating with a plain nasal	noun dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29	kalkoti[p. 142, table 12];kalkoti[p. 136]			
f_6mtdurggxxe6y	Phal	cū̂r	four	چُور	tɕúur	čúur		Morphemic form: čáur	num	liljegren	catúraḥ 'four (masc.acc.pl.)' (T: 4655)		
f_6numt3gujkarm	Phal	píla	to drink	پِلہ	píla	píla		Inflection: T (Prs): piláanu, (Pfv): píilu, (Cv): pilí, (Imp): pil; Morphemic form: pil-, píil-	verb tr Palula-verb-class-T	liljegren	píbati 'drinks' (T: 8209)		
f_6oh436n4bml4u	Phal	tipā̌n tī̌	until now, even to this day	تِپان تی	tipaán tií	tipaán tií			multiword-expression	liljegren			unlinked
f_6pefiqyrnazwe	Phal	búja	to understand, realize	بُجہ	búdʑa	búǰa		Inflection: T (Prs): buǰáanu, (Pfv): búdu, (Cv): buǰí, (Imp): buǰ; Morphemic form: buǰ-, bud-	verb intr Palula-verb-class-T	liljegren	búdhyatē 'is awakened, observes, understands' (T: 9279) ; buddha- 'known, understood; awakened, conscious, wise' (T: 9276)		
f_6qole5rjlxuim	Phal	askō̂na jʰulí	easily	اسکونہ جُھلیۡ	askóona dʑhulí	askóona ǰhulí			multiword-expression	liljegren			unlinked
f_6qxo7u3zmoqve	Sh	as	be			as-		sein	intr dialect:Sh:gil:Gilgit	degener-shina2008[p. 245, glossary entry 10]	Degener directly assigns this headword to Turner/CDIAL 977.3. The printed sub-number 977.3 is linked to its CDIAL parent entry 977. [T. 977.3]		
f_6sabgj5gxdzaa	Phal	śúja	to end, finish	شُجہ	ɕúdʑa	šúǰa		Inflection: T (Prs): šuǰáanu, (Pfv): šúdu, (Cv): šuǰí; Morphemic form: šuǰ-, šud-	verb intr Palula-verb-class-T	liljegren			unlinked
f_6thcsf3w6ho4w	Phal	fāidadā̌r	profitable, useful	فائدہ دار	faajdadaár, pʰaajdadaár	faaidadaár			adj indecl	liljegren			unlinked
f_6xxi6lvgemisc	Phal	andō̂i	from here (prox); of this	اندوئیۡ	andóoj	andóoi			adv spatial demonstrative	liljegren			unlinked
