concept_id,concept,group,language_id,language,unit,form_id,form,gloss,head_id,head,family_id,family,status,source
1203,LONG,plains,Noiri,Noiri,noir1238,f_kzp7vj3gkxyi4,lambo,long,,,,,unlinked,"varghesekumar2015noira[Appendix A3, printed p. 56, item 134, list NPN]"
1203,LONG,plains,Noiri,Noiri,noir1238,f_zyxhqjpnjqil2,nambo,long,,,,,unlinked,"varghesekumar2015noira[Appendix A3, printed p. 56, item 134, list NGO]"
1203,LONG,plains,DungraBhili,Dungra Bhil,dung1251,f_zmwokam5xtbwq,nambo,long,,,,,unlinked,"varghesekumar2015noira[Appendix A3, printed p. 56, item 134, list DBM]"
1203,LONG,plains,DungraBhili,Dungra Bhil,dung1251,f_h6teeyjaf4q4q,nambo,long,,,,,unlinked,"varghesekumar2015noira[Appendix A3, printed p. 56, item 134, list DBA]"
1203,LONG,plains,Noiri,Noiri,noir1238,f_tec66s3kdeuf2,lamba,long,,,,,unlinked,"varghesekumar2015noira[Appendix A3, printed p. 56, item 134, list KNA]"
1203,LONG,plains,Noiri,Noiri,noir1238,f_fwdtyxpw6egqo,lamba,long,,,,,unlinked,"varghesekumar2015noira[Appendix A3, printed p. 56, item 134, list KTA]"
1203,LONG,plains,Goj,Gujari,guja1253,f_66q743wud3f3o,lambu,long,,,,,unlinked,"varghesekumar2015noira[Appendix A3, printed p. 56, item 134, list GTA]"
1203,LONG,plains,Vasavi,Vasavi,vasa1239,f_d23urq2kzul2q,lambo,long,,,,,unlinked,"watters2013northerndhule[Appendix C, printed p. 109, item 134, list KEL]"
1203,LONG,plains,Vasavi,Vasavi,vasa1239,f_7sivkc7qdd2ty,lambo,long,,,,,unlinked,"watters2013northerndhule[Appendix C, printed p. 109, item 134, list DHA]"
1203,LONG,plains,Vasavi,Vasavi,vasa1239,f_bxpl7oi3eltho,lambo,long,,,,,unlinked,"watters2013northerndhule[Appendix C, printed p. 109, item 134, list DIG]"
